text,response,Predicted Label,True Label
Absolutely love when water is spilt on my phone.. Just love it.. #timeforanewphone...,sarcastic,0,1
I was hoping just a LITTLE more shit could hit the fan this week.,sarcastic,0,1
@pdomo Don't forget that Nick Foles is also the new Tom Brady. What a preseason! #toomanystudQBs #thankgodwedonthavetebow,sarcastic,0,0
I constantly see tweets about Arsenal on twitter. Thanks for keeping the world updated @ZachBaugus &amp; @shawnxh . #HugeArsenalFans,sarcastic,0,0
Can feel the feet pulsating...slow one...because my resting heart rate is circa 45bpm...,sarcastic,0,0
10 users followed me and 7 users unfollowed me today (checked by http://t.co/Cjyw1Vbg) [autotweet],sarcastic,0,0
godddd that shower felt so guuuuud.,sarcastic,0,0
Can feel the feet pulsating...slow one...because my resting heart rate is circa 45bpm...,sarcastic,0,0
you're my kryptoniteeeee!&lt;3 RT als je dit herkent (((one direction),sarcastic,0,0
Love an on field argument with @ZachBauld #fuckoffyoucunt #youfuckoff #niceheader #nicekick,sarcastic,0,0
"Wow, kids drinking vodka in the back of the room during a lecture. You guys are classy.",sarcastic,0,1
We all have that one person who we wished we never gave our phone number to... #Ted,sarcastic,0,0
Tweeter? Twits? Austin and Ally sure is creative. #omgihavetotwit,sarcastic,0,0
@AdrianKunina and 3 gallons of seeman,sarcastic,0,0
"You know what we could be together for life but you f**ked me last nigth and I was drunk.., #Quotes #FakeLove",sarcastic,0,0
I think #HootSuite is pretty hoot. Er... hot. http://t.co/afj0hXhw,sarcastic,0,0
I can do what I want to. I play by my own rules 💜,sarcastic,0,0
First day of school....how exciting! #exhausted,sarcastic,0,0
You're dragged down by the very people who claim they're trying to inspire.,sarcastic,0,0
"@ruma1980 lol... You got it in one :), Bed now night monkey see you some time soon at worky woo",sarcastic,0,0
Maths is on. http://t.co/2yZ95TaQ,sarcastic,0,0
"Oh, love this! Shaky camera : Check RT @Hickesy Fake, of course, but I still love this UFO vid http://t.co/n9ju9uM7",sarcastic,0,0
New Jersey Shopping Plaza Shootout Leaves Three Dead - Yahoo! http://t.co/ms6MggL1 via @YahooNews,sarcastic,0,0
Love the political advice on Twitter. #getinformed,sarcastic,0,0
"Rock &amp; Roll Hall of Famers, The Yardbirds are back on tour,, check out http://t.co/FTCb2kjP They brought us Jeff Beck Please Retweet",sarcastic,0,0
Brain says he won't be making anymore transfers :( #exciting,sarcastic,0,0
@funeral4aheart merrrrr fuck my life,sarcastic,0,0
@LeeLiLo_90 @jemlaa90 I wudnt say funny lmao!!,sarcastic,0,0
@Will_Piper should move back up fella. I'm already here... On my own... Having loads of fun,sarcastic,0,0
"@rahulpuri Absolutely! She just keeps re-tweeting anything and everything that mentions her name. My page is flooded! Enough, I said.",sarcastic,0,0
@elfordminis looks awesome. How long did it take to paint?,sarcastic,0,0
I don't know what to do with my life besides get high and make music,sarcastic,0,0
This 8:20 Friday class is gonna be grrreat!!,sarcastic,0,1
Too bad she's not THAT good at playing the gay part of her character. #PLL,sarcastic,0,0
This lab class boring af,sarcastic,0,0
i chose brown sugar mini wheats,sarcastic,0,0
#love being up early after getting no sleep,sarcastic,0,1
Can someone please tell me why it smells like poop in Lebanon right now?! Like seriously though.. #sogross ,sarcastic,0,0
Tweeter? Twits? Austin and Ally sure is creative. #omgihavetotwit,sarcastic,0,0
@babee_kayyy lol itold you iwasnt coming . :) what we do in class ?,sarcastic,0,0
"#PROJECTRUNWAY Ven ur dress gave ur model a 3RD BREAST! Nice, just what every gal wants! u sure know design better than women!",sarcastic,0,0
Actually goin to school tomorrow (x,sarcastic,0,0
@wh_donghaesj engga jadi kan!! :D abis aku on lewat hp jadi ngga bisa edit prof :D,sarcastic,0,0
"Rock &amp; Roll Hall of Famers, The Yardbirds are back on tour,, check out http://t.co/FTCb2kjP They brought us Jeff Beck Please Retweet",sarcastic,0,0
Wanna know how I know your gay??? Because when the truth got out about you it got you hot. Oops my bad yall know dam well IDGAF,sarcastic,0,0
"@chur_ay pengguna baru twett, mhon bantuanx ya. . :D",sarcastic,0,0
These tuff http://t.co/G2rWoMwQ,sarcastic,0,0
@NiallOfficial @AryaDwiCosta Hopefully not a strangers car...(:,sarcastic,0,0
Rat Gooo to sleep ughhh,sarcastic,0,0
@ashvichotai Thankyouu!my dad don't understand why I'm so pleased with that result ! Haha xx,sarcastic,0,0
Thank god I invested in an umbrella this year.,sarcastic,0,0
I was gone for 3 days and my cat didn't even notice...,sarcastic,0,0
"""Well she is pretty! Fifty shades of pretty!"" @TFasullo @laurenhanzel @patrickbenton11",sarcastic,0,0
I keep waking up and falling back to sleep,sarcastic,0,0
I constantly see tweets about Arsenal on twitter. Thanks for keeping the world updated @ZachBaugus &amp; @shawnxh . #HugeArsenalFans,sarcastic,0,0
@Kiraking98 yaaaaaaaaaaay *Insert 'always look on the bright side of life' joke here* :P,sarcastic,0,0
"Off to Jamaica manana! Even though this trip isn't precipitated by the best circumstances, I'm looking forward to being home with fam:-)",sarcastic,0,0
Spending the night in NA... #wooo,sarcastic,0,0
@mattlarter4 it's fun when I only understand 50% of the words in your tweets!,sarcastic,0,0
"Happy Birthday @RAIN_onyou . I miss you hope, you enjoy your day!",sarcastic,0,0
"EVEN MORE BREAKING SHOCKING NEWS: Chelsea and Barcelona have agreed on a £4m fee for Lionel Messi! More to follow! #ITKAgent""",sarcastic,0,0
@babee_kayyy lol itold you iwasnt coming . :) what we do in class ?,sarcastic,0,0
@BigWaits9 @mistrievinson oh gosh.. I'm just so stoked. Hahahah can't even wait.,sarcastic,0,0
Haha wow it's amazing how some seniors can leave after fourth period #jealous 😭😥,sarcastic,0,1
I really admire your maturity.,sarcastic,0,0
Nothing like being in class two hours and having two hours to go! #TDE220,sarcastic,0,1
